Sample,PM(2.5),HCHO,TVOC,TEMP,HUM,CO2
805,33,0.062,0.419,26,65,1469
807,33,0.062,0.419,26,65,1469
809,33,0.062,0.419,26,65,1470
811,33,0.062,0.419,26,65,1470
813,33,0.062,0.419,26,65,1470
815,33,0.06,0.406,26,65,1470
817,33,0.06,0.406,26,65,1470
819,33,0.062,0.419,26,65,1470
821,33,0.062,0.419,26,65,1470
823,34,0.064,0.431,26,65,1470
825,34,0.064,0.431,26,65,1470
827,34,0.064,0.431,26,65,1470
829,35,0.062,0.419,26,65,1470
831,34,0.064,0.431,26,64,1470
833,33,0.062,0.419,26,64,1469
835,32,0.062,0.419,26,64,1469
837,31,0.062,0.419,26,64,1468
839,30,0.06,0.406,26,64,1468
841,29,0.06,0.406,26,64,1457
843,30,0.06,0.406,26,64,1465
845,29,0.06,0.406,26,64,1465
847,30,0.058,0.393,26,64,1464
849,29,0.058,0.393,26,63,1462
851,30,0.058,0.393,26,63,1462
853,29,0.058,0.393,25,63,1460
855,28,0.057,0.381,26,63,1460
857,29,0.057,0.381,26,62,1458
859,28,0.055,0.368,26,62,1455
861,27,0.055,0.368,26,63,1455
863,27,0.055,0.368,26,63,1453
865,27,0.055,0.368,26,63,1450
867,26,0.055,0.368,26,63,1450
869,27,0.055,0.368,26,63,1448
871,26,0.053,0.355,26,63,1445
873,25,0.053,0.355,26,62,1445
875,26,0.053,0.355,26,62,1443
877,25,0.053,0.355,26,62,1443
879,26,0.053,0.355,26,62,1442
881,26,0.053,0.355,26,62,1440
883,27,0.053,0.355,26,62,1439
885,27,0.053,0.355,26,62,1439
887,27,0.051,0.342,26,62,1439
889,28,0.049,0.33,26,62,1438
891,29,0.053,0.355,26,62,1435
893,29,0.053,0.355,26,62,1433
895,30,0.053,0.355,26,62,1433
897,31,0.053,0.355,26,62,1430
899,31,0.051,0.342,26,61,1430
901,32,0.053,0.355,26,61,1427
903,33,0.053,0.355,26,61,1425
905,32,0.053,0.355,26,61,1425
907,31,0.053,0.355,26,62,1422
909,32,0.053,0.355,26,61,1420
911,31,0.053,0.355,26,61,1420
913,32,0.053,0.355,26,61,1419
915,31,0.053,0.355,26,61,1419
917,30,0.053,0.355,26,60,1418
919,31,0.053,0.355,26,60,1417
921,30,0.053,0.355,26,60,1417
923,29,0.053,0.355,26,60,1417
925,30,0.051,0.342,26,61,1418
927,29,0.051,0.342,26,61,1418
929,30,0.051,0.342,26,61,1418
931,29,0.051,0.342,26,61,1418
933,30,0.051,0.342,26,60,1418
935,29,0.053,0.355,26,61,1419
937,30,0.053,0.355,26,60,1419
939,30,0.055,0.368,26,60,1419
941,31,0.055,0.368,26,60,1419
943,30,0.057,0.381,26,60,1418
